STATE/UT,CRIME HEAD,2013
Maharashtra,Other Crimes Against STs,213
Manipur,Other Crimes Against STs,0
Meghalaya,Other Crimes Against STs,0
Mizoram,Other Crimes Against STs,0
Nagaland,Other Crimes Against STs,0
Odisha,Other Crimes Against STs,2
Punjab,Other Crimes Against STs,0
Rajasthan,Other Crimes Against STs,1375
Sikkim,Other Crimes Against STs,0
Tamil Nadu,Other Crimes Against STs,1
Tripura,Other Crimes Against STs,12
Uttar Pradesh,Other Crimes Against STs,8
Uttarakhand,Other Crimes Against STs,0
West Bengal,Other Crimes Against STs,82
Total (State),Other Crimes Against STs,3296
A&N Islands,Other Crimes Against STs,1
Chandigarh,Other Crimes Against STs,0
D&N Haveli,Other Crimes Against STs,3
Daman & Diu,Other Crimes Against STs,1
Delhi UT,Other Crimes Against STs,0
Lakshadweep,Other Crimes Against STs,0
Puducherry,Other Crimes Against STs,0
Total (UTs),Other Crimes Against STs,5
Total (All-India),Other Crimes Against STs,3301
Andhra Pradesh,Protection of Civil Rights Act,0
Arunachal Pradesh,Protection of Civil Rights Act,0
Assam,Protection of Civil Rights Act,0
Bihar,Protection of Civil Rights Act,0
Chhattisgarh,Protection of Civil Rights Act,0
Goa,Protection of Civil Rights Act,1
Gujarat,Protection of Civil Rights Act,0
Haryana,Protection of Civil Rights Act,0
Himachal Pradesh,Protection of Civil Rights Act,0
Jammu & Kashmir,Protection of Civil Rights Act,0
Jharkhand,Protection of Civil Rights Act,0
Karnataka,Protection of Civil Rights Act,14
Kerala,Protection of Civil Rights Act,0
Madhya Pradesh,Protection of Civil Rights Act,0
Maharashtra,Protection of Civil Rights Act,8
Manipur,Protection of Civil Rights Act,0
Meghalaya,Protection of Civil Rights Act,0
Mizoram,Protection of Civil Rights Act,0
Nagaland,Protection of Civil Rights Act,0
Odisha,Protection of Civil Rights Act,1
Punjab,Protection of Civil Rights Act,0
Rajasthan,Protection of Civil Rights Act,0
Sikkim,Protection of Civil Rights Act,0
Tamil Nadu,Protection of Civil Rights Act,0
Tripura,Protection of Civil Rights Act,0
Uttar Pradesh,Protection of Civil Rights Act,0
Uttarakhand,Protection of Civil Rights Act,0
West Bengal,Protection of Civil Rights Act,0
Total (State),Protection of Civil Rights Act,24
A&N Islands,Protection of Civil Rights Act,1
Chandigarh,Protection of Civil Rights Act,0
D&N Haveli,Protection of Civil Rights Act,0
Daman & Diu,Protection of Civil Rights Act,0
Delhi UT,Protection of Civil Rights Act,0
Lakshadweep,Protection of Civil Rights Act,0
Puducherry,Protection of Civil Rights Act,0
Total (UTs),Protection of Civil Rights Act,1
Total (All-India),Protection of Civil Rights Act,25
Andhra Pradesh,Rape,37
Arunachal Pradesh,Rape,1
Assam,Rape,0
Bihar,Rape,0
Chhattisgarh,Rape,112
Goa,Rape,0
Gujarat,Rape,34
Haryana,Rape,0
Himachal Pradesh,Rape,0
Jammu & Kashmir,Rape,0
Jharkhand,Rape,15
Karnataka,Rape,19
Kerala,Rape,44
Madhya Pradesh,Rape,329
Maharashtra,Rape,91
Manipur,Rape,2
Meghalaya,Rape,0
Mizoram,Rape,0
Nagaland,Rape,6
Odisha,Rape,58
Punjab,Rape,0
Rajasthan,Rape,83
Sikkim,Rape,0
Tamil Nadu,Rape,2
Tripura,Rape,3
Uttar Pradesh,Rape,2
Uttarakhand,Rape,0
West Bengal,Rape,9
Total (State),Rape,847
A&N Islands,Rape,0
Chandigarh,Rape,0
D&N Haveli,Rape,0
Daman & Diu,Rape,0
Delhi UT,Rape,0
Lakshadweep,Rape,0
Puducherry,Rape,0
Total (UTs),Rape,0
Total (All-India),Rape,847
Andhra Pradesh,Robbery,0
Arunachal Pradesh,Robbery,0
Assam,Robbery,0
Bihar,Robbery,0
Chhattisgarh,Robbery,0
Goa,Robbery,0
Gujarat,Robbery,0
Haryana,Robbery,0
Himachal Pradesh,Robbery,0
Jammu & Kashmir,Robbery,0
Jharkhand,Robbery,0
Karnataka,Robbery,0
Kerala,Robbery,0
Madhya Pradesh,Robbery,0
Maharashtra,Robbery,2
Manipur,Robbery,0
Meghalaya,Robbery,0
Mizoram,Robbery,0
Nagaland,Robbery,0
Odisha,Robbery,3
Punjab,Robbery,0
Rajasthan,Robbery,0
Sikkim,Robbery,0
Tamil Nadu,Robbery,2
Tripura,Robbery,0
Uttar Pradesh,Robbery,0
Uttarakhand,Robbery,0
West Bengal,Robbery,0
Total (State),Robbery,7
A&N Islands,Robbery,0
Chandigarh,Robbery,0
D&N Haveli,Robbery,0
Daman & Diu,Robbery,0
Delhi UT,Robbery,0
Lakshadweep,Robbery,0
Puducherry,Robbery,0
Total (UTs),Robbery,0
Total (All-India),Robbery,7
Andhra Pradesh,SC/ST (POA) Act,126
Arunachal Pradesh,SC/ST (POA) Act,0
Assam,SC/ST (POA) Act,0
Bihar,SC/ST (POA) Act,68
Chhattisgarh,SC/ST (POA) Act,0
Goa,SC/ST (POA) Act,4
Gujarat,SC/ST (POA) Act,58
Haryana,SC/ST (POA) Act,0
Himachal Pradesh,SC/ST (POA) Act,2
Jammu & Kashmir,SC/ST (POA) Act,0
Jharkhand,SC/ST (POA) Act,195
Karnataka,SC/ST (POA) Act,303
Kerala,SC/ST (POA) Act,5
Madhya Pradesh,SC/ST (POA) Act,0
Maharashtra,SC/ST (POA) Act,45
Manipur,SC/ST (POA) Act,0
Meghalaya,SC/ST (POA) Act,0
Mizoram,SC/ST (POA) Act,0
Nagaland,SC/ST (POA) Act,0
Odisha,SC/ST (POA) Act,513
Punjab,SC/ST (POA) Act,0
Rajasthan,SC/ST (POA) Act,24
Sikkim,SC/ST (POA) Act,0
Tamil Nadu,SC/ST (POA) Act,6
Tripura,SC/ST (POA) Act,0
Uttar Pradesh,SC/ST (POA) Act,10
Uttarakhand,SC/ST (POA) Act,1
West Bengal,SC/ST (POA) Act,26
Total (State),SC/ST (POA) Act,1386
A&N Islands,SC/ST (POA) Act,0
Chandigarh,SC/ST (POA) Act,0
D&N Haveli,SC/ST (POA) Act,4
Daman & Diu,SC/ST (POA) Act,0
Delhi UT,SC/ST (POA) Act,0
Lakshadweep,SC/ST (POA) Act,0
Puducherry,SC/ST (POA) Act,0
Total (UTs),SC/ST (POA) Act,4
Total (All-India),SC/ST (POA) Act,1390
Andhra Pradesh,Total Crimes against STs,672
Arunachal Pradesh,Total Crimes against STs,1
Assam,Total Crimes against STs,0
Bihar,Total Crimes against STs,91
Chhattisgarh,Total Crimes against STs,331
Goa,Total Crimes against STs,10
Gujarat,Total Crimes against STs,224
Haryana,Total Crimes against STs,0
Himachal Pradesh,Total Crimes against STs,2
Jammu & Kashmir,Total Crimes against STs,0
Jharkhand,Total Crimes against STs,396
Karnataka,Total Crimes against STs,535
Kerala,Total Crimes against STs,135
Madhya Pradesh,Total Crimes against STs,1296
Maharashtra,Total Crimes against STs,415
Manipur,Total Crimes against STs,2
Meghalaya,Total Crimes against STs,0
Mizoram,Total Crimes against STs,0
Nagaland,Total Crimes against STs,18
Odisha,Total Crimes against STs,791
Punjab,Total Crimes against STs,0
Rajasthan,Total Crimes against STs,1651
Sikkim,Total Crimes against STs,17
Tamil Nadu,Total Crimes against STs,23
Tripura,Total Crimes against STs,24
Uttar Pradesh,Total Crimes against STs,25
Uttarakhand,Total Crimes against STs,2
West Bengal,Total Crimes against STs,122
Total (State),Total Crimes against STs,6783
A&N Islands,Total Crimes against STs,2
Chandigarh,Total Crimes against STs,0
D&N Haveli,Total Crimes against STs,7
Daman & Diu,Total Crimes against STs,1
Delhi UT,Total Crimes against STs,0
Lakshadweep,Total Crimes against STs,0
Puducherry,Total Crimes against STs,0
Total (UTs),Total Crimes against STs,10
Total (All-India),Total Crimes against STs,6793
